OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3460336,T20170015835,ABS to receive accident,Finished,15/08/2017,18.15.00,Yes,Collision with vehicle,Tuesday,HEAD ON (NOT OVERTAKING),No,Dusk/Dawn,Yes,Not at intersection,Fatal accident,100 km/hr,No,320393,142.26502,-37.66306,Non-Intersection,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,2258738.557,2422954.395,2,2,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3460380,T20170015845,ABS to receive accident,Finished,15/08/2017,18.25.00,Yes,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Dark Street lights on,Yes,T intersection,Fatal accident,60 km/hr,No,38315,145.02915,-37.68453,Intersection,WHITTLESEA,METROPOLITAN NORTH WEST REGION,2502571.221,2424037.756,6,6,1,4,1,0,5,1,0,4,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,WHITTLESEA,METROPOLITAN NORTH WEST REGION,,,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3460424,T20170015437,ABS to receive accident,Finished,9/08/2017,19.18.00,Yes,Collision with vehicle,Wednesday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Dark Street lights on,Yes,T intersection,Fatal accident,100 km/hr,No,297431,145.30705,-38.14085,Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2526918.778,2373346.344,3,3,2,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,Yes,1,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,M,M,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3460435,T20170015876,ABS to receive accident,Finished,16/08/2017,10.20.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Fatal accident,110 km/hr,No,320454,145.92367,-36.5762,Non-Intersection,BENALLA,NORTH EASTERN REGION,2582660.084,2546623.198,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BENALLA,NORTH EASTERN REGION,M,M,Freeway,Freeway,Divided,Div,Country
3460436,T20170015877,ABS to receive accident,Finished,16/08/2017,12.15.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,No,58409,145.61924,-35.96985,Intersection,MOIRA,NORTH EASTERN REGION,2555853.936,2614121.046,2,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOIRA,NORTH EASTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3460561,T20170016433,ABS to receive accident,Finished,25/08/2017,01.00.00,Yes,Collision with a fixed object,Friday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,50 km/hr,Yes,320814,143.86085,-37.55768,Non-Intersection,BALLARAT,WESTERN REGION,2399360.963,2437513.098,2,2,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,BALLARAT,WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3460576,T20170015504,ABS to receive accident,Finished,10/08/2017,15.05.00,No,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,322546,146.5345,-36.13205,Non-Intersection,INDIGO,NORTH EASTERN REGION,2638113.757,2595191.867,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,1,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,INDIGO,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3460581,T20170015514,ABS to receive accident,Finished,11/08/2017,05.30.00,Yes,Collision with vehicle,Friday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,60 km/hr,No,322054,145.11759,-38.00119,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2510328.089,2388885.308,3,1,1,0,0,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3460598,T20170015965,ABS to receive accident,Finished,17/08/2017,21.40.00,Yes,Struck Pedestrian,Thursday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,No,Dark No street lights,Yes,T intersection,Fatal accident,100 km/hr,No,320464,145.4318,-36.03853,Intersection,MOIRA,NORTH EASTERN REGION,2538912.934,2606593.806,3,2,1,0,1,1,3,0,0,0,1,1,0,0,1,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOIRA,NORTH EASTERN REGION,A,A,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country
3460616,T20170016875,ABS to receive accident,Finished,1/09/2017,10.40.00,No,Collision with vehicle,Friday,LEFT REAR,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,321136,145.32438,-36.34003,Non-Intersection,SHEPPARTON,NORTH EASTERN REGION,2529118.597,2573178.843,4,3,1,0,2,1,2,2,0,1,3,0,0,0,0,0,0,0,0,1,No,0,3,0,3,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SHEPPARTON,NORTH EASTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3460630,T20170015532,ABS to receive accident,Finished,11/08/2017,06.25.00,No,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,320274,145.15438,-35.9296,Non-Intersection,MOIRA,NORTH EASTERN REGION,2513931.974,2618756.934,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOIRA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3460661,T20170021132,ABS to receive accident,Finished,5/11/2017,17.55.00,Yes,Collision with vehicle,Sunday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,323296,147.98164,-36.16369,Non-Intersection,TOWONG,NORTH EASTERN REGION,2768223.044,2588594,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,RURAL_VICTORIA,RURAL_VICTORIA,TOWONG,NORTH EASTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3460709,T20170021160,ABS to receive accident,Finished,6/11/2017,12.17.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,Multiple intersection,Fatal accident,80 km/hr,No,324676,143.84476,-37.51747,Non-Intersection,BALLARAT,WESTERN REGION,2397884.948,2441958.279,3,1,1,0,0,2,3,0,0,1,2,0,0,0,0,0,0,0,1,0,No,0,2,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BALLARAT,WESTERN REGION,A,A,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3460731,T20170021968,ABS to receive accident,Finished,18/11/2017,01.51.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Dark Street lights on,Yes,Not at intersection,Fatal accident,60 km/hr,No,323801,145.16358,-37.88882,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2514388.763,2401351.624,2,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,No,0,4,0,4,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,Arterial Other,Divided,Div,Metro
3460760,T20170021187,ABS to receive accident,Finished,6/11/2017,13.15.00,No,Collision with a fixed object,Monday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,323344,145.15976,-37.24047,Non-Intersection,MITCHELL,NORTHERN REGION,2514173.605,2473304.839,4,4,1,1,2,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MITCHELL,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3460777,T20170021612,ABS to receive accident,Finished,13/11/2017,08.04.00,No,Collision with vehicle,Monday,LEFT TURN SIDESWIPE,Not known,Day,Yes,Not at intersection,Fatal accident,50 km/hr,No,323584,145.01161,-37.76953,Non-Intersection,DAREBIN,METROPOLITAN NORTH WEST REGION,2501023.191,2414604.147,2,1,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,MELB_URBAN,MELB_URBAN,DAREBIN,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3460841,T20170022040,ABS to receive accident,Finished,18/11/2017,22.20.00,Yes,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,323800,145.89546,-38.73237,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,2577884.567,2307351.029,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undiv,Country
3460977,T20170021306,ABS to receive accident,Finished,8/11/2017,16.15.00,No,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),Yes,Day,Yes,Cross intersection,Fatal accident,50 km/hr,No,323464,145.20074,-37.82699,Intersection,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,2517671.597,2408208.855,5,1,1,0,0,4,5,0,0,3,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,WHITEHORSE,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3461005,T20170020902,ABS to receive accident,Finished,1/11/2017,21.00.00,Yes,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,70 km/hr,No,323152,145.17532,-38.14545,Non-Intersection,FRANKSTON,METROPOLITAN SOUTH EAST REGION,2515369.133,2372865.001,2,1,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,FRANKSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3461012,T20170020913,ABS to receive accident,Finished,2/11/2017,02.22.00,Yes,Collision with a fixed object,Thursday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Fatal accident,80 km/hr,Yes,323224,145.10039,-37.91127,Non-Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2508827.925,2398868.351,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,Arterial Highway,Divided,Div,Metro
3461089,T20170021756,ABS to receive accident,Finished,15/11/2017,09.30.00,No,Collision with vehicle,Wednesday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Fatal accident,50 km/hr,No,323997,144.95666,-37.29649,Non-Intersection,MITCHELL,NORTHERN REGION,2496157.747,2467099.065,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,1,1,0,0,TOWNS,TOWNS,MITCHELL,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
