OBJECTID,ACCIDENT_NO,ABS_CODE,ACCIDENT_STATUS,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,HIT_RUN_FLAG,LIGHT_CONDITION,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE,RUN_OFFROAD,NODE_ID,LONGITUDE,LATITUDE,NODE_TYPE,LGA_NAME,REGION_NAME,VICGRID_X,VICGRID_Y,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,SRNS,SRNS_ALL,RMA,RMA_ALL,DIVIDED,DIVIDED_ALL,STAT_DIV_NAME
3450856,T20170000923,ABS to receive accident,Finished,16/01/2017,07.59.00,No,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,No,Day,Yes,Cross intersection,Fatal accident,60 km/hr,No,30027,146.32093,-36.35793,Intersection,WANGARATTA,NORTH EASTERN REGION,2618545.04,2570419.527,2,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,SMALL_CITIES,SMALL_CITIES,WANGARATTA,NORTH EASTERN REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Country
3450869,T20170001348,ABS to receive accident,Finished,22/01/2017,16.50.00,Yes,Collision with vehicle,Sunday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,313168,145.87987,-38.5302,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,2576735.941,2329811.155,21,5,1,1,3,16,12,8,0,16,5,0,0,0,0,0,0,0,0,2,No,0,5,0,5,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3450895,T20170002128,ABS to receive accident,Finished,3/02/2017,07.30.00,No,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dusk/Dawn,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,313627,144.56795,-36.19896,Non-Intersection,CAMPASPE,NORTHERN REGION,2461145.102,2588792.594,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CAMPASPE,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3450942,T20170001781,ABS to receive accident,Finished,29/01/2017,04.30.00,Yes,Struck Pedestrian,Sunday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,Not known,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,No,313385,143.36304,-35.18537,Non-Intersection,SWAN HILL,NORTHERN REGION,2350858.599,2700073.47,2,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,No,0,1,0,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SWAN HILL,NORTHERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3451020,T20170001017,ABS to receive accident,Finished,17/01/2017,16.00.00,No,Collision with vehicle,Tuesday,RIGHT TURN SIDESWIPE,No,Day,Yes,Not at intersection,Fatal accident,110 km/hr,No,313002,146.28457,-38.19228,Non-Intersection,LATROBE,EASTERN REGION,2612535.793,2366921.612,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,LATROBE,"EASTERN REGION,EASTERN REGION",M,M,Freeway,Freeway,Divided,Div,Country
3451186,T20170001490,ABS to receive accident,Finished,24/01/2017,16.30.00,No,Collision with vehicle,Tuesday,RIGHT THROUGH,No,Day,Yes,T intersection,Fatal accident,60 km/hr,No,37394,144.66763,-37.87595,Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2470759.275,2402742.371,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,WYNDHAM,METROPOLITAN NORTH WEST REGION,C,C,Arterial Other,"Arterial Other,Local Road",Divided,"Div,Undiv",Metro
3451310,T20170000778,ABS to receive accident,Finished,13/01/2017,16.45.00,Yes,Collision with a fixed object,Friday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,312904,144.75895,-36.71126,Non-Intersection,CAMPASPE,NORTHERN REGION,2478465.621,2532010.861,4,4,1,3,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,CAMPASPE,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3451314,T20170000786,ABS to receive accident,Finished,14/01/2017,00.35.00,Yes,Collision with a fixed object,Saturday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,60 km/hr,Yes,312905,145.38892,-37.89126,Non-Intersection,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,2534208.938,2401023.677,2,2,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,Yes,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA RANGES,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3451346,T20170001579,ABS to receive accident,Finished,25/01/2017,18.50.00,Yes,Collision with vehicle,Wednesday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,No,51143,145.22263,-36.41411,Intersection,SHEPPARTON,NORTH EASTERN REGION,2519965.702,2564985.659,4,3,1,1,1,1,2,2,0,2,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SHEPPARTON,NORTH EASTERN REGION,A,"A,C",Arterial Highway,"Arterial Highway,Arterial Other",Divided,"Div,Undiv",Country
3451500,T20170001662,ABS to receive accident,Finished,27/01/2017,03.50.00,Yes,Collision with a fixed object,Friday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,T intersection,Fatal accident,100 km/hr,Yes,313337,143.66686,-37.65381,Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,2382373.018,2426623.091,3,2,1,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,SMALL_TOWNS,SMALL_TOWNS,GOLDEN PLAINS,SOUTH WESTERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country
3451569,T20170002071,ABS to receive accident,Finished,2/02/2017,11.30.00,No,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,T intersection,Fatal accident,100 km/hr,Yes,313628,142.05722,-38.1541,Non-Intersection,MOYNE,SOUTH WESTERN REGION,2242098.099,2367932.574,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOYNE,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3451573,T20170000904,ABS to receive accident,Finished,15/01/2017,16.50.00,Yes,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,No,59295,144.38042,-36.48718,Intersection,BENDIGO,NORTHERN REGION,2444488.818,2556720.543,3,3,1,1,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BENDIGO,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3451583,T20170001303,ABS to receive accident,Finished,21/01/2017,16.47.00,Yes,Collision with vehicle,Saturday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Fatal accident,60 km/hr,No,265911,145.01191,-37.96954,Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2501046.508,2392405.059,4,3,1,1,1,1,3,1,0,0,1,0,1,2,0,0,0,0,0,0,No,0,3,0,1,2,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,,,,,,,Metro
3451653,T20170000552,ABS to receive accident,Finished,11/01/2017,03.50.00,Yes,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,313030,144.35198,-37.95623,Non-Intersection,GEELONG,SOUTH WESTERN REGION,2443050.186,2393688.633,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GEELONG,SOUTH WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3451762,T20170000610,ABS to receive accident,Finished,11/01/2017,14.30.00,No,Collision with vehicle,Wednesday,OTHER ADJACENT (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Fatal accident,100 km/hr,No,312784,143.24731,-34.78104,Intersection,SWAN HILL,NORTHERN REGION,2339489.649,2744755.407,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SWAN HILL,NORTHERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country
3451815,T20170000641,ABS to receive accident,Finished,12/01/2017,08.55.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Multiple intersection,Fatal accident,Not known,No,312832,145.21771,-37.84636,Intersection,KNOX,METROPOLITAN SOUTH EAST REGION,2519160.643,2406055.039,2,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,No,0,2,1,0,1,0,MELB_URBAN,MELB_URBAN,KNOX,METROPOLITAN SOUTH EAST REGION,M,M,Freeway,"Freeway,Arterial Other",Divided,"Div,Undiv",Metro
3451903,T20170000258,ABS to receive accident,Finished,5/01/2017,17.28.00,No,Collision with vehicle,Thursday,CROSS TRAFFIC(INTERSECTIONS ONLY),No,Day,Yes,Cross intersection,Fatal accident,100 km/hr,No,52293,146.46988,-38.27127,Intersection,LATROBE,EASTERN REGION,2628633.546,2357918.747,2,1,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,LATROBE,"EASTERN REGION,EASTERN REGION",C,C,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Country
3452052,T20170000317,ABS to receive accident,Finished,6/01/2017,17.00.00,Yes,Collision with vehicle,Friday,HEAD ON (NOT OVERTAKING),No,Day,Yes,T intersection,Fatal accident,100 km/hr,No,61713,143.63792,-37.67908,Intersection,GOLDEN PLAINS,SOUTH WESTERN REGION,2379859.528,2423783.47,5,5,1,4,0,0,3,2,0,3,2,0,0,0,0,0,0,0,0,1,No,1,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,GOLDEN PLAINS,SOUTH WESTERN REGION,B,B,Arterial Highway,"Arterial Highway,Local Road",Undivided,Undiv,Country
3452322,T20170000474,ABS to receive accident,Finished,9/01/2017,15.30.00,No,Fall from or in moving vehicle,Monday,FELL IN/FROM VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,50 km/hr,No,318907,144.99539,-37.91058,Non-Intersection,BAYSIDE,METROPOLITAN SOUTH EAST REGION,2499594.836,2398949.033,2,1,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,1,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,BAYSIDE,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3452579,T20170004917,ABS to receive accident,Finished,10/03/2017,17.42.00,Yes,Collision with vehicle,Friday,LEFT TURN SIDESWIPE,Yes,Day,Yes,Cross intersection,Fatal accident,60 km/hr,No,38779,144.89977,-37.81467,Intersection,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,2491174.987,2409590.181,2,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,1,0,0,0,MELB_URBAN,MELB_URBAN,MARIBYRNONG,METROPOLITAN NORTH WEST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3452679,T20170004972,ABS to receive accident,Finished,11/03/2017,11.35.00,No,Vehicle overturned (no collision),Saturday,OFF CARRIAGEWAY ON RIGHT BEND,No,Day,Yes,Not at intersection,Fatal accident,80 km/hr,Yes,314993,146.32971,-39.02399,Non-Intersection,SOUTH GIPPSLAND,EASTERN REGION,2615199.977,2274526.614,2,2,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,SOUTH GIPPSLAND,"EASTERN REGION,EASTERN REGION",C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3452694,T20170005341,ABS to receive accident,Finished,16/03/2017,14.47.00,No,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),No,Day,Yes,Not at intersection,Fatal accident,80 km/hr,No,315819,144.74355,-37.87184,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2477437.125,2403218.535,14,2,1,1,0,12,11,2,0,6,7,0,0,0,1,0,0,0,0,1,No,0,7,1,6,0,0,MELB_URBAN,MELB_URBAN,WYNDHAM,METROPOLITAN NORTH WEST REGION,M,M,Freeway,Freeway,Divided,Div,Metro
3452791,T20170005032,ABS to receive accident,Finished,12/03/2017,01.00.00,Yes,Vehicle overturned (no collision),Sunday,OFF CARRIAGEWAY TO LEFT,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,314992,142.0831,-36.66067,Non-Intersection,HORSHAM,WESTERN REGION,2239288.411,2533657.353,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,HORSHAM,WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3452855,T20170003905,ABS to receive accident,Finished,26/02/2017,14.45.00,No,Collision with vehicle,Sunday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,314466,144.45528,-37.58203,Non-Intersection,MOORABOOL,WESTERN REGION,2451890.329,2435275.525,5,5,1,3,1,0,3,2,0,3,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOORABOOL,WESTERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3452925,T20170004679,ABS to receive accident,Finished,7/03/2017,16.25.00,No,Collision with a fixed object,Tuesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,315820,143.51653,-37.23183,Non-Intersection,PYRENEES,WESTERN REGION,2368379.846,2473249.936,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,PYRENEES,WESTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3452946,T20170005097,ABS to receive accident,Finished,13/03/2017,23.55.00,Yes,Collision with vehicle,Monday,REAR END(VEHICLES IN SAME LANE),No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,No,315016,144.79721,-37.69278,Non-Intersection,BRIMBANK,METROPOLITAN NORTH WEST REGION,2482115.968,2423103.334,7,1,1,0,0,6,3,4,0,3,3,0,0,1,0,0,0,0,0,0,No,0,5,0,4,1,0,MELB_URBAN,MELB_URBAN,BRIMBANK,METROPOLITAN NORTH WEST REGION,M,M,Freeway,Freeway,Divided,Div,Metro
3453008,T20170003977,ABS to receive accident,Finished,27/02/2017,12.05.00,No,Collision with vehicle,Monday,RIGHT TURN SIDESWIPE,No,Day,Yes,Not at intersection,Fatal accident,110 km/hr,No,315846,145.59267,-36.73969,Non-Intersection,STRATHBOGIE,NORTH EASTERN REGION,2552925.954,2528719.009,2,1,1,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,STRATHBOGIE,NORTH EASTERN REGION,M,M,Freeway,Freeway,Divided,Div,Country
3453026,T20170004362,ABS to receive accident,Finished,3/03/2017,13.30.00,No,Struck Pedestrian,Friday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE,No,Day,No,Not at intersection,Fatal accident,60 km/hr,No,315002,144.9553,-37.79954,Non-Intersection,MELBOURNE,METROPOLITAN NORTH WEST REGION,2496063.403,2411272.721,2,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,No,0,1,0,0,0,0,MELB_URBAN,MELB_URBAN,MELBOURNE,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3453048,T20170005140,ABS to receive accident,Finished,14/03/2017,08.14.00,No,Struck Pedestrian,Tuesday,PED WALKING WITH TRAFFIC,No,Day,Yes,Not at intersection,Fatal accident,50 km/hr,No,315686,144.55366,-37.69139,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,2460636.473,2423184.631,4,1,1,0,0,3,1,3,0,2,1,1,0,0,0,0,1,0,0,0,No,1,1,0,1,0,0,SMALL_CITIES,SMALL_CITIES,MELTON,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3453176,T20170004423,ABS to receive accident,Finished,4/03/2017,12.22.00,No,Collision with a fixed object,Saturday,OUT OF CONTROL (OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,Not known,Yes,314750,144.70203,-37.92096,Non-Intersection,WYNDHAM,METROPOLITAN NORTH WEST REGION,2473800.925,2397756.166,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,WYNDHAM,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3453438,T20170003395,ABS to receive accident,Finished,20/02/2017,08.35.00,No,Collision with vehicle,Monday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,70 km/hr,No,314248,145.26643,-37.95864,Non-Intersection,CASEY,METROPOLITAN SOUTH EAST REGION,2523414.045,2393582.507,2,2,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,No,0,2,0,2,0,0,MELB_URBAN,MELB_URBAN,CASEY,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3453447,T20170003779,ABS to receive accident,Finished,24/02/2017,17.22.00,Yes,Collision with vehicle,Friday,HEAD ON (NOT OVERTAKING),No,Day,Yes,Not at intersection,Fatal accident,80 km/hr,No,314465,143.99573,-37.3994,Non-Intersection,HEPBURN,WESTERN REGION,2411091.066,2455211.409,3,2,1,1,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,No,0,2,1,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,HEPBURN,WESTERN REGION,A,A,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3453471,T20170002598,ABS to receive accident,Finished,9/02/2017,14.00.00,No,collision with some other object,Thursday,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,No,313840,144.53511,-37.47641,Non-Intersection,MACEDON RANGES,NORTHERN REGION,2458884.077,2447034.518,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MACEDON RANGES,NORTHERN REGION,C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3453640,T20170003074,ABS to receive accident,Finished,15/02/2017,18.44.00,Yes,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,314080,144.69558,-37.69733,Non-Intersection,MELTON,METROPOLITAN NORTH WEST REGION,2473154.472,2422574.344,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MELTON,METROPOLITAN NORTH WEST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3453840,T20170003172,ABS to receive accident,Finished,16/02/2017,21.32.00,Yes,Collision with a fixed object,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,T intersection,Fatal accident,80 km/hr,Yes,47857,145.16333,-37.89395,Intersection,MONASH,METROPOLITAN SOUTH EAST REGION,2514365.781,2400782.362,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,MONASH,METROPOLITAN SOUTH EAST REGION,,,Arterial Highway,"Arterial Highway,Local Road",Divided,"Div,Undiv",Metro
3453862,T20170003609,ABS to receive accident,Finished,22/02/2017,16.00.00,No,Collision with a fixed object,Wednesday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,314369,146.00779,-36.26994,Non-Intersection,MOIRA,NORTH EASTERN REGION,2590547.299,2580525.665,2,1,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,No,0,2,0,2,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOIRA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3453976,T20170002444,ABS to receive accident,Finished,7/02/2017,14.45.00,No,Collision with a fixed object,Tuesday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,314464,146.74723,-38.41659,Non-Intersection,WELLINGTON,EASTERN REGION,2652605.98,2341378.779,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,1,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,WELLINGTON,"EASTERN REGION,EASTERN REGION",C,C,Arterial Other,Arterial Other,Undivided,Undiv,Country
3453996,T20170003249,ABS to receive accident,Finished,17/02/2017,20.40.00,Yes,Vehicle overturned (no collision),Friday,OFF CARRIAGEWAY TO RIGHT,No,Dusk/Dawn,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,314201,145.65989,-35.95026,Non-Intersection,MOIRA,NORTH EASTERN REGION,2559535.974,2616269.815,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,MOIRA,NORTH EASTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3453997,T20170003252,ABS to receive accident,Finished,17/02/2017,22.44.00,Yes,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark Street lights on,Yes,Not at intersection,Fatal accident,50 km/hr,Yes,314203,145.10363,-37.94463,Non-Intersection,KINGSTON,METROPOLITAN SOUTH EAST REGION,2509108.839,2395165.468,2,2,1,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,,,Local Road,Local Road,Undivided,Undiv,Metro
3454012,T20170003668,ABS to receive accident,Finished,23/02/2017,07.40.00,No,Collision with a fixed object,Thursday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,315192,148.87198,-37.11937,Non-Intersection,EAST GIPPSLAND,EASTERN REGION,2843965.964,2479758.905,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,No,0,1,1,0,0,0,RURAL_VICTORIA,RURAL_VICTORIA,EAST GIPPSLAND,"EASTERN REGION,EASTERN REGION",,,Local Road,Local Road,Undivided,Undiv,Country
3454049,T20170003283,ABS to receive accident,Finished,18/02/2017,15.15.00,Yes,Collision with a fixed object,Saturday,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,314204,142.58856,-37.05515,Non-Intersection,NORTHERN GRAMPIANS,WESTERN REGION,2285564.212,2491164.49,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,No,0,1,0,0,1,0,RURAL_VICTORIA,RURAL_VICTORIA,NORTHERN GRAMPIANS,WESTERN REGION,,,Local Road,Local Road,Undivided,Undiv,Country
3454074,T20170002491,ABS to receive accident,Finished,8/02/2017,10.55.00,No,Collision with a fixed object,Wednesday,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Day,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,313792,145.96758,-36.63312,Non-Intersection,BENALLA,NORTH EASTERN REGION,2586525.549,2540268.681,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,RURAL_VICTORIA,RURAL_VICTORIA,BENALLA,NORTH EASTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
3454090,T20170002884,ABS to receive accident,Finished,13/02/2017,15.36.00,No,Collision with vehicle,Monday,RIGHT NEAR (INTERSECTIONS ONLY),No,Day,Yes,T intersection,Fatal accident,60 km/hr,No,42593,145.19257,-37.94106,Intersection,DANDENONG,METROPOLITAN SOUTH EAST REGION,2516927.277,2395548.66,4,1,1,0,0,3,2,2,0,2,1,0,0,1,0,0,0,0,0,0,No,0,2,0,1,1,0,MELB_URBAN,MELB_URBAN,DANDENONG,METROPOLITAN SOUTH EAST REGION,,,Arterial Other,"Arterial Other,Local Road",Undivided,Undiv,Metro
3454112,T20170008019,ABS to receive accident,Finished,21/04/2017,19.30.00,Yes,Collision with a fixed object,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,No,Dark No street lights,Yes,Not at intersection,Fatal accident,100 km/hr,Yes,316552,145.69262,-37.19555,Non-Intersection,MURRINDINDI,NORTH EASTERN REGION,2561483.559,2478077.36,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,No,0,1,0,1,0,0,TOWNS,TOWNS,"MURRINDINDI,MURRINDINDI",NORTH EASTERN REGION,B,B,Arterial Highway,Arterial Highway,Undivided,Undiv,Country
